Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","567","Pastèques","2018","2018","tonnes","0","*","Chiffre non officiel"
"TCL","Cultures et produits animaux","7","Angola","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","574","Ananas","2017","2017","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","574","Ananas","2018","2018","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","567","Pastèques","2018","2018","tonnes","1","","Donnée officielle"
"TCL","Cultures et produits animaux","8","Antigua-et-Barbuda","5910","Exportations - Quantité","567","Pastèques","2019","2019","tonnes","0","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","574","Ananas","2017","2017","tonnes","2304","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","574","Ananas","2018","2018","tonnes","1363","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","574","Ananas","2019","2019","tonnes","10","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","486","Bananes","2017","2017","tonnes","11303","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","486","Bananes","2018","2018","tonnes","8151","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","486","Bananes","2019","2019","tonnes","3333","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","569","Figues","2017","2017","tonnes","10057","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","569","Figues","2018","2018","tonnes","6564","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","569","Figues","2019","2019","tonnes","6699","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","404","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","592","Kiwis","2018","2018","tonnes","245","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2017","2017","tonnes","2024","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2018","2018","tonnes","1152","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","571","Mangues, mangoustans et goyaves","2019","2019","tonnes","49","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","568","Melons, cantaloups","2017","2017","tonnes","3221","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","568","Melons, cantaloups","2018","2018","tonnes","100","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","568","Melons, cantaloups","2019","2019","tonnes","27","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","600","Papayes","2017","2017","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","600","Papayes","2018","2018","tonnes","162","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","600","Papayes","2019","2019","tonnes","149","","Donnée officielle"
"TCL","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","567","Pastèques","2017","2017","tonnes","","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","569","Figues","2017","2017","tonnes","122","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","569","Figues","2018","2018","tonnes","66","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","569","Figues","2019","2019","tonnes","118","","Donnée officielle"
"TCL","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","592","Kiwis","2017","2017","tonnes","748","","Donnée officielle"
