Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","569","Figues","2019","2019","7021","Valeur annuel","USD","1761","","Donnée officielle"
"PP","Prix à la Production","80","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","567","Pastèques","2019","2019","7021","Valeur annuel","USD","183","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","574","Ananas","2018","2018","7021","Valeur annuel","USD","221","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","486","Bananes","2018","2018","7021","Valeur annuel","USD","283","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","569","Figues","2018","2018","7021","Valeur annuel","USD","928","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","568","Melons, cantaloups","2018","2018","7021","Valeur annuel","USD","276","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","600","Papayes","2018","2018","7021","Valeur annuel","USD","239","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","567","Pastèques","2018","2018","7021","Valeur annuel","USD","162","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","574","Ananas","2019","2019","7021","Valeur annuel","USD","199","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","486","Bananes","2019","2019","7021","Valeur annuel","USD","280","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","569","Figues","2019","2019","7021","Valeur annuel","USD","1004","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","568","Melons, cantaloups","2019","2019","7021","Valeur annuel","USD","250","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","600","Papayes","2019","2019","7021","Valeur annuel","USD","235","","Donnée officielle"
"PP","Prix à la Production","21","Brésil","5532","Prix à la Production (USD/tonne)","567","Pastèques","2019","2019","7021","Valeur annuel","USD","171","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","574","Ananas","2017","2017","7021","Valeur annuel","USD","1535","","Donnée officielle"
"PP","Prix à la Production","26","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","486","Bananes","2017","2017","7021","Valeur annuel","USD","1188","","Donnée officielle"
